"variable","statistic","baseline","recycling","difference","combined_mcse","simultaneous_z","tolerance","passed"
"mu_u_eta_rti","q50",4.19609060990102,4.16972459075287,-0.0263660191481492,0.0456511975085345,3.5062047266172,0.160062444480159,TRUE
"mu_u_eta_pi","q50",5.29499578767244,5.30095216681771,0.00595637914526836,0.0180689227737551,3.5062047266172,0.0633533424342215,TRUE
"beta_nelf","q50",-0.847706305947775,-0.718444447165213,0.129261858782563,0.205351223070686,3.5062047266172,0.720003428947065,TRUE
"log_omega_lambda","q50",-0.7823369958364,-0.788071609822019,-0.00573461398561936,0.00799886726387019,3.5062047266172,0.0280456662081653,TRUE
"log_omega_mu_t","q50",-1.17630949662538,-1.17167480693468,0.00463468969070036,0.0245594547175283,3.5062047266172,0.0861104762137388,TRUE
"log_omega_mu_a","q50",-0.982077528449394,-1.01797233262668,-0.0358948041772886,0.0329468845340116,3.5062047266172,0.115518522280463,TRUE
"log_omega_p","q50",-0.692525646130812,-0.674045226034019,0.0184804200967931,0.0276046971200696,3.5062047266172,0.0967877195192243,TRUE
"log_omega_alpha_l","q50",-0.501043241978267,-0.43453069187272,0.0665125501055473,0.0576526180829367,3.5062047266172,0.202141882024249,TRUE
"log_omega_pi","q50",-1.25875347714243,-1.2396795780479,0.0190738990945254,0.0332141794003844,3.5062047266172,0.11645571280434,TRUE
"log_omega_eta_rti","q50",-1.04810926664105,-1.02173175369229,0.0263775129487647,0.019602627496992,3.5062047266172,0.0687308251840697,TRUE
"log_omega_eta_pi","q50",-1.06008194857083,-1.05829813591265,0.00178381265818151,0.021139752878548,3.5062047266172,0.0741203014622848,TRUE
"log_gamma_pop","q50",-6.01168585821454,-5.99795564532486,0.0137302128896772,0.145880959120264,3.5062047266172,0.511488508390923,TRUE
"log_mu_l_pop","q50",-3.68890602000066,-3.31792177522463,0.370984244776031,0.0973616956842021,3.5062047266172,0.341370037599415,FALSE
"log_sigma_v","q50",-0.665441613295362,-0.695416620994004,-0.029975007698642,0.00970313020094974,3.5062047266172,0.0340211609735521,TRUE
